secID,名称,closePrice,一字涨停,ztDays,ths概念名称,板块名称,em板块名称
603316.XSHG,诚邦股份,11.97,非,6,"共同富裕示范区,碳中和,新型城镇化,节能环保,特色小镇,杭州亚运会,地下管网,PPP概念,水利,污水处理,建筑节能,芯片概念,存储芯片",建筑节能,"建筑节能,微盘股,预盈预增,半导体概念,地下管网,节能环保,存储芯片,房屋检测,新型城镇化,碳交易,PPP模式,水利建设"
601218.XSHG,吉鑫科技,5.47,一字涨停,4,"融资融券,风电,绿色电力",融资融券,"融资融券,预亏预减,风能"
