original_code,converted_code,stock_name,current_price,change_percent,overall_score,technical_score,fundamental_score,risk_score,risk_level,analysis_time,status,error_message,error_type
603316.XSHG,603316.SH,分析失败,0,0,0,0,0,0,未知,2025-07-04 13:20:34,failed,服务器内部错误: 个股分析失败,server_error_500
601218.XSHG,601218.SH,分析失败,0,0,0,0,0,0,未知,2025-07-04 13:20:39,failed,服务器内部错误: 个股分析失败,server_error_500
