original_code,converted_code,stock_name,current_price,change_percent,overall_score,technical_score,fundamental_score,risk_score,risk_level,analysis_time,status
603316.XSHG,603316.SH,,0,0,0,0,0,0,中等风险,2025-07-04 15:40:35,success
601218.XSHG,601218.SH,,0,0,0,0,0,0,中等风险,2025-07-04 15:41:02,success
