original_code,converted_code,stock_name,current_price,change_percent,overall_score,technical_score,fundamental_score,risk_score,risk_level,analysis_time,status,error_message,error_type
603316.XSHG,603316.SH,分析失败,0,0,0,0,0,0,未知,2025-07-04 16:11:40,failed,请求超时,unknown
601218.XSHG,601218.SH,分析失败,0,0,0,0,0,0,未知,2025-07-04 16:14:50,failed,请求超时,unknown
